Fiction ID,Title,Synopsis,Followers
12001,The Advent of a Hero/Villain ?,"Who is a Hero? Is he someone who helps the weak? Someone who saves people from danger? 
This question has plagued young Mike since he first got his powers, should he help people as a hero or damn people as a villain. Mike is trying to understand himself but will there be enough time when the rest of the world is mutating and the Administrator of Earth introduces it to the system of worlds. Which causes what some called the metatstatis event, where people where teleported to other worlds in the system to help them. 
Follow Mike on his experiences and finds answers to the question, will he become a Hero or Villain.",1
12005,Divine Shopper,"When the Galactic whoever are too late to prevent the Zombie Apocalypse, they instead send each survivor of earth a random care package, containing the most minimum of tools and a random skill.
 
Leon's skill gives him Divine level access to the Galactic shop.
Now all he needs to do is figure out how much it's going to cost to survive the end of the world.",96
12006,The Enchanted Forest is caused by industrial runoff?,"Growing up in the slums of New Columbus isn't the easist gig. From juiced up literal murder hobos to packs of magically mutated feral cats there's potential for danger at every corner. Jack Lowrie has spent all 17 years of his young life in this environment, surviving off of only the free meals at 'School' and sleeping in what can only be described as a hovel. So imagine his surprise when he finds a capable of unlocking his latent magical potential...
 
 
This is my first time seriously writing a story and all criticisms are welcome. I'll do my best to keep the story coherent although I haven't really worked out an update schedule just yet. I like cliches, so don't be too suprised if some show up. Haven't really worked out a longterm plot yet but expect a blend of LitRPG, Cyberpunk, and modern settings. I'll try to add in polls for reader interaction and integration.",7
12007,The rise of baron bladebreaker,"He who see everything, 
He who can look in other worlds
He who can learn from anyone without being seen 
He is an observer 
With his powerfull eyes, what will he do? 
------------------------------------------------------------------------------------------------------------------
I am not a native english speaker. I hope to improve my english through writting this novel.  I hope that people who are good in grammar to point out repetition, and errors. 
Thanks for the help in advance.",27
12008,Reborn as a dungeon core in an apocalyptic world,"Please delete, thx.",412
12009,The Bit of Human Left,"Arris Graham is a regular college student, attending a high ranking college in California. It's summer break, and Arris is returning home to visit his relatives and pay homage to his deceased parents at their graves. Little does he know, the entire world is about to change. 
When Arris goes out to visit his parent's graves, he's caught in the middle of a thunderstorm. He continues on through the thunderstorm to pay his respects to his parents but is interrupted by some disturbing texts from his cousin. Arris tries to leave the graveyard, but before he can get to his car he is confronted by a screen which appears in mid-air before him, reading, ""Initializing World Server start"", with an ominous countdown just below those words. 
Just as the server is about to initialize though, Arris is struck by an enhanced bolt of lightning, and the very flesh melted off him. When he comes to after the System has initialized, Arris finds himself in the body of a skeleton, stuck in the dungeon, with no way out for another 6 months. How will Arris navigate this new world?
Cover by David Corry",962
12010,Cultivator in a Zombie World,Cultivator gets dragged into a zombie world,8
12011,The Summoner of Legends,"Imagine being able to summon beings and items from the stories written on paper of any kind from any world. Whether it be divine creatures out of legends or items and weapons from the tales in a story of old, only the class of the Story Summoner could summon these.
 
Go on a journey as Shawn is specially chosen out of 11 people that have been summoned to a different world to help the different races of that world from the darkness that is rising up. Or will he be able to help as he is transferred to the world.
 
 
 
This is my first fiction and I hope you will enjoy.",23
12012,Smiling Necromancer,"""The tallest grass is the first to get cut but the fruit that hangs the lowest is the first to get plucked"" These are the words that define Zeke's way of life. For over a decade he has managed to navigate his way through the Ardo Kingdom's most prestigious academy for Spiritual magic.
During his time at the Academy he has seen countless 'geniuses' meet their end before they were given the chance to fully blossom. He has also seen numerous unfortunate people be used as experiment subjects as well as cannon fodder.
After maintaining just the perfect balance of success and mediocrity Zeke had finally managed to graduate. He could now become an employee of the Academy. He would get his own private property assigned to him and he would receive a salary that would allow him to live more than comfortably. But would things really come to such a peaceful conclusion?",0
12013,A Reincarnates Story,"A man who gained immortality yet did nothing noteworthy with it finds himself finally at deaths door following his first and last true act of selflessness. A god that rules his world gives him some choices on how to go about his reincarnation yet after he does things don't turn out as expected and so life must go on.
 
This is my first story that I've ever made puplic so pointers would be appriciated. Thank you.",70
12014,Cosmic Sovereign,"In the endless cosmos, there existed a being so ancient that he was even older than the Universe. He had unfathomable powers and had watched the Universe grow from a small bud to the huge ocean of stars it was today.
Many eons went by as this being watched the life-forms of the Universe evolve and grow. Eventually he got bored of just spectating and decided to explore the Universe as one of its inhabitants. This being was formless so he decided to build a body for himself.
But then he realized that none of the bodies he created could connect with his ancient soul and he couldn’t occupy it. He was depressed and as his last hope searched for a body in the endless cosmos which resonated with his soul and was capable of anchoring it. After many centuries, he finally found a body in a remote planet called Xyrus, the body of a boy named Arthur.
And thus began the adventures of Arthur in a Universe where strength ruled everything.",12
12018,Tales of Astora: Insurrection,"The second volume of the series ""Tales of Astora"". WARNING: since this is a direct sequel, it is necessary to read the first volume in order to understand the reference and the actual story.
Link to the first novel: Tales of Astora: Legacy
Following the events of the first volume, the Gods have found the hidden, mysterious world of Astora, now known as Valhalla and set out to destroy those who would defile the will of Multiverse. Behind the scene, an ancient force is about to make its first move after eons of slumber. Lead by the entities known as the Enders, they seek the destruction of the Gods and most of all, the world. 
Meanwhile, a tiny soul was born in a world of science where magic was but a myth. Plunged between the two camps, Astora, daughter of the Dark Lord, will soon face her destiny along with other peculiar beings she will meet in her journey.",54
