Fiction ID,Title,Synopsis,Followers
11000,Garden of Death,"Have you ever read those reincarnation stories?
Where main character is given a second life by a god?
Is given great cheat power, Then goes on an adventure to defeat the demon king or some other great evil!
Well this story is a little different...
 
When a young child passes the day of his predestined death, lives on the edge of death. He grows to resent life and curses the gods themselves, gaining the attention of a Devil.
What is the gift that the Devil himself gives such a human?
And what is it the Devil has asked for in return?

 
I'm not too exprienced in writing (as my specialty is illustration),
but I hope you can find some enjoyment in this story!
I very much welcome helpful critisizm! ^ o^)",11
11001,An Un-Ideal Eternity,"An Un-Ideal Eternity is about a man named Desmond, who is killed, revived, and then finds himself immortal in a post-apocalyptic society. Just because it’s a society doesn’t mean that either he or “they” have to be civilized. And just because a gentleman has become immortal does not mean that he has no dangers to be wary of.
The good news is that he’s been afforded some very kind and very generous ministrations from his future-self. The bad news is that all those efforts might still not be enough, to allow our hero, to live in as untroubled and as un-tumultuous a manner as he’d prefer.",192
11002,Transported Into Another World As A Slime (Under Rewrite),"""What is life and what is the meaning of it?""""Life is but a terrible game. A glitchy game without retry, fun, or meaning to it.""   Shin Harfort, a high schooler with the great nickname of ""Teacher Bully"" and the one who stands at the pinnacle of loneliness, is transported into another world along with his classmates. Where he encounters things which remind him of what he missed in the past. His values and ideals are challenged.  Now he must evolve both physically and mentally like the monsters from a certain game and bring forth what he truly wants.",116
11003,Twisting Fate (Complete),"Through the planes another world lies, fighting for survival from the taint their ancestors unleashed on their world. For generations, they have called beings from other planes to bolster their forces, but now few answer their calls. So, they turn to what their ancestors did in desperation, the very thing that doomed them originally. Forcing a planar junction, so they may retreat there to fight against their enemies.
They turn to the plane their ancestors were thrown out of, a plane where magic is no longer. Earth, now a land of technological marvels unprepaired for both the demonic taint and the shattered kingoms of theirs. 
Adrian Ravnos a young man who wants little more than to have some fun playing games and reading books must survive in this world rapidly returning to the state his ancestors lived in, reality and fate in flux. Can he even survive let alone thrive in this twisted world?
As the plane of Althrá has been dragging beings of power to their plane for centuries there are multiple systems of both magical and physical arts known by characters within this story. Likewise, many ideas have been adopted and implemented by the dying deities of Althrá.
This story is being rewritten, it will stay up until the rewrite is done.",688
11004,Just A Simple Heist,"Once, Ren was the model citizen. Coming of age in the city of Leyden, built up around its famed academies, Ren reaped the benefits of an education afforded to few others. Despite the early death of his father, or perhaps because of it, he strove to make the best of said education. He particularly found success in the theatrical arts, coming to develop an uncanny talent for acting.
However, after being uprooted from his home by a twist of fate, Ren began to apply these talents in less… savory… pursuits. From basic thievery to elaborate con-acts, Ren cajoled his way from town to town, constantly pushing the boundaries of his abilities. So, after one too many notable close calls, Ren jumped at the chance for an easy job offered by an old contact from Leyden. After all, what could go wrong with just a simple heist?
 
A fair warning to all readers: This is my first real attempt at writing, well, anything. As such, I have no prior experience to inform a schedule on release timings. While, as an avid reader of novels on this site myself, I will do my best to keep up a steady pace of content, I can’t guarantee anything now. Additionally, if you enjoy the story (or don’t!) please let me know what works well and what doesn’t. I hope to do my best to learn as I go, and this will be made infinitely easier with feedback from you all!
Finally, while it’s possible there will be references to sexual content, owing to my lack of knowledge on how to write them, I will likely leave out anything explicit (hence the lack of the warning on the story).",1
11005,Reothen,"Can you guys please read my story, help me find some errors and plotholes in it, thanks!
btw im doing this for fun.
My first story",0
11006,The Edge of Broken  *On Hiatus*,"18+ Only
How will humanity live out its last days, with compassion or unimagined cruelty?",1
11007,Bane Identity,,0
11008,In this Dangerous World,"Walking home one evening after school, Devin was attacked by a monster straight out of a horror movie. Just as she thought she was going to be eaten alive, she was saved--if you can call it that--by something that could only be considered the bringer of the apocalypse, which swallows the first monster as a evening snack.
Unfortunately for Devin, this new apocalyptic horror considers her the main dish. In a desperate bid, Devin manages to escape, but finds herself in a strange, dangerous new world far from Earth. Now she must figure out how to survive when everything seems to want to eat her, all while feeling the threat of that ancient eldritch looming ever closer.

Rewrite of Haven in a Dangerous World (though quite a bit different).  Probably slow updates, sorry guys.
Check out my wordpress 
Cover made my me <3

© [koallary] and [In this Dangerous World], [2019]. Unauthorized use and/or duplication of this material without express and written permission from this site’s author and/or owner is strictly prohibited. Excerpts and links may be used, provided that full and clear credit is given to [koallary] and [In this Dangerous World] with appropriate and specific direction to the original content.",53
11009,A simple book,"My name... well, it's not important anymore since, my book is now the only thing which matters. A single life was not enough to fulfill my dream. Now, what awaits me ?
 
This story will be one of sadness and happiness, adventure and interactions and, so much more.
This story can contains : Detailed fights, swearings, death and sadness. Please read at your own discretion.
(Moreover, I would like to say that English is not my first language so if you see any mistakes please tell me and I will correct them. Ah yes... I almost forgot, I don't have any release schedule for the moment so don't hope to have a chapter regularly, for now at least.)
 WILL REMAKE THIS STORY ON ANOTHER ACCOUNT ""Feynox"".",8
11010,The world of Malum,"Malum is a world similar to the world of middle age of europe. With lots of big cities that seems perfect but beneath the surface there exist series fault in the systems of society.
 
(this is mi first story i have dyslexia so it if you notis somting wrong coment about it)",0
11012,The semi-hero with a demon inside?,"Soooo... i was summoned in another world. How cliche...
While me and my friends were coming home from our school in London we suddently found ourselves magically transported to a big room. 
The moment I realized what happend i wanted to facepalm myself for my cursed luck, to think this would happend.
perhaps the situation isn't so bad and they're not gonna send me to my death fighting a stupid demon king or something... Right?
But thanks to lady luck, of course the knight goes [Welcome heroes of The Otherworld, this is Arcadia, I am the Royal knight Jacob. We would be thankful if you were to help us deal with a little problem...] 
However, I  also heard something cursing... Must be my imagination... 
[g- d-e -- h--l -r k-l- --ur--lf... -ha- --e --c-?! w--r- a- i??]",7
11013,The Thalisean legacy,"Many years ago, a small but noble race called the Thalise existed with the sole purpose of defeating the demons and their king with to the power given to them by their creator; the mark of the Herald, a symbol that manifested itself as the main source of a Thaliseans strength to defeat the demons.
Many more years of strife passed but the Thalisean race mysteriously vanished. Humanity is pushed to the brink of ruin due to the demon's running rampant across the land. This is when the last of the Thalise is created and brought forth by their creator. Zachary Erinn, a young man raised as a normal child, embarks on his perilous journey to fulfill his purpose as it is revealed to him. Can he take over such a task that stakes the fate of humanity on his shoulders, or will he succumb at the hands of those that seek to deter him?",21
11014,A Trapped Soul in the Unknown World,"A man was confused that he seems suddenly transported to unknown world, what happen to him exactly?",0
11015,The Creator - Old version,"Waking up to two moons, Allen's current obsession with lucid dreaming leads to him being the first user of MaGI, the Magical Game Interface. Granted the right to create his own skill, he tries to outwitt the system only to end up with the basic ability of mankind.",23
11016,Albert's Summer,"Albert is a middle school kid who accidentally found a way to step into the world of his favorite MMORPG. Inside the world of 'Deaths of the Gods', he meets an elven girl named Lily who asks him help to her find her origin. With his strong desire to explore and a need to go off into new adventures, follow Albert's undertaking as he lives the life of an adventurer inside the world of favorite game.",8
11017,Guardian,"When the world once almost ended due to a powerful demon king, the hero managed to banish him. However, a thousand years later, a new story develops. (Completed)
 
This is my first fiction. I have no idea how well it will turn out. Thank you to anyone who took their time to read this.",34
11018,Insignia's Story,"Losing everything, our hero Kross, wakes up to a man known as Richter. He is promised to gain strength if he so seeks it. The strength to kill what took everything he had. Kross's thirst for vengeance runs high so he takes the offer. Will he get the strength that he so desires? Four years later he returns to join the King's Order of Knights. Has he changed at all? Or does his vengeance still fuel his will to live? Join this tale of fantasy and magic to learn of Kross and his path. This is Insignia's Story.",3
11019,Black Heart,"Warning: Updates will be sporadic

Summary: 
Hidden from the normal world exists a place where the forsaken are taken. A lawless area where the strong prey on the weak, and the weak must become strong in order to survive. Follow a fallen noble as he tries to maintain his pure heart in a world where darkness is the only light.

Genres: Action, Gore, Tragedy, Desperation, Psychological

A/N: Please be advised that this novel contains elements not suitable for underage readers. This is my first try on a more serious fiction which doesn't include fantasy elements, so please, if you have any suggestions through the story, feel free to mention them.",0
11020,The Closed Room,"A man was trapped in the little room, what exactly is happening?",0
11021,Shadow & Light,"3000 years ago when the Demons roamed the Earth, the 5 other races such as Humans, Ogres, Giants, Elves, and Divines joined forces and banished the Demons in a realm known as Xernia. And the Aldraco Clan, that can control Shadow, Void, Matter, Spirit, and Curse was the guardians that protect the demons from escaping. But one fateful day...8 demons escaped and those demons were the 8 Chaos Demons, one of the highest ranked demons and they surrounded the all the Aldracans and killed them. But the Gods manifested all their energy and sent it to the a boy named Zeldris, hoping that he will defeat the Demons once more ad so the story goes on......",1
11022,Archmage Paladin,"Synopsis:
2 years ago, Antonidas Kaleck, a legendary magic researcher discovered a way to obtain eternal life, but he was chased by the people who wished to obtain the eternal life and secluded himself from these people.
Fifty years later, he created another discovery, the temporal portals. With the wish of returning to the past, he tried his new experimental portal but his soul has been transferred to another world instead.
Learning about the knowledge of magic of the world he transferred was undeveloped and only discovered magic two hundred years ago, Antonidas decided to change the knowledge of the magic of this another world.
 
Schedule:
I'll try to post two chapters per week, maybe more depending on my inspiration.
 
Recruitment:
Looking for a partner to readproof my work if possible, since writing the story itself is already a lot of works. If that person can also write me a good synopsis it will help, thanks. 
(Please send me a private msg if you are interested)",170
