Fiction ID,Title,Synopsis,Followers
13000,THE BLOOD ALCHEMIST EMPEROR♔,"Blake T. Hazard, is the only Neet remaining, in this world and perhaps the most unfortunate Neet that ever happened, since he sees magic being used around him everyday, but can't use it. With the help of his Dead Grandfather and his blood he tries to climb to the top.
This is the story of his bubbly adventure, while manipulating the law with his wits and knowledge and edgly complaining in a way only someone like him could pull off.",2
13001,Father at 15,"Shimada is your typical high school delinquent. He loves to create a nuisance, to pick fights with teachers, and to harass everyone. All that, just to show his superiority. However, his life changes when his grandfather passes away and entitles him the ownership of the New Dawn Orphanage. Now he has to take care of his grandfather's work and the orphan children's.
But the major issues is that Shimada hates kids.",7
13002,Grimmic Human (Rewritten version of Almost Grimm),"A young boy wakes up in a strange land with a strange body.
(RWBY fanfic)
Please note that this will have some big and small references to other media.",17
13003,The Undead Dungeon Adam,"On The Planet Earth Our Main Character Adam ??? Dies From ????? As He Is Reincarnated Into A Dungeon Core 
    And Desides To ""??????????""",5
13004,The wyvern Company,"Dion, a man with no sir name having been the bastard son of a noble man, re-tells the story of how he went from being the captain of the guard in a small hamlet to one of the most powerful men on the continent of Orris. Follow him as he encounters dangers and over comes obstacles. He will face death threats, near death experiences, and betrayal. (The cover art is not mine I am only using it until I can work out a cover with an artist.)",5
13005,Mystic Swordsman,,233
13006,Madman,"This story is of the horror genre. About a middle aged man slowly torturing his victim in daylight.
(please be nice to me on comments first time poster long time reader)",0
13007,Kingdom of the Forsaken,"This Story is mostly just my mind thinking of neat things and writing as the next event to have taken place. I have general ideas of where everything is going but as I write I alter, so the futures bears its own fruit. If anyone has an idea for the story throw it at me because I'm mostly releasing stress. As for content, I see no problem with anything specifc cause knowledge is power so expect everything or nothing I ain't your boss. I will write with various styles and POVs. Synopsis: 
One day the gods rolled dice, some remained as they were and others changed, the world itself was altered and the knowledge of the workings of the old world is useless. Beings shall strive to generate places for themselves to live in peace or war, for those in charge are the means to the ends. Now watch as the world continues to turn in turmoil and burn in harmony.",0
13011,Para Normal Mercenaries,"two young guys get reincarnated into the world as demons and their job is to hunt other demons that have escaped hell.
let us join them in the stupid things that happen to them while they try to live their second life as peacefully as they can... but really, who is stupid enough to think that two demons that have been living together for a long time would have normal lives?",1
13012,A Dream,"Deo lost his girlfriend, his college life, and now his job. All he knows to do now is to sleep and try to ease the pain and suffering he is going through. A desperate young man is now going to sleep, wishing to enter a dream in which he can create a world of his own.",8
13013,The Awakened,"Mark was a data analyst that had recently landed a job in a company and his life was pretty normal if not a bit boring through upon meeting a mugger in an alley his life had a drastic change not neccesarily for the better. He stopped being a sleeper and saw a glimpse of the true form of the world which opened his eyes to a new life altogether.
==============================================================================================
This is my first fiction and i am loosely basing this on Mage:The Awakening rulebook.  Naturally i am going to change things a bit but i don't intend to make this a novel where the main character goes around changing the whole world. It will be based on a normal guy discovering a new world while trying to find his place in it. Also please write comments warning me about things such as development speed or unrealistic relations.",18
13015,Sudden Death,"Here's about a teenage boy who seeks for an adventure. But laze was glued all over his life, for him everything is dull. School, activities, friends, or to be straightforward, life itself is dull. Until one day, he come across a street and began his breathtaking adventure where he discovered the importance of the life HE ONCE HAD.
.
.
Would he take it back?
-----------------------------------------------
Chapters will be up every five days :)",1
13016,Transit through truth,"A team of soldiers chosen by the Uronian Emperor to stop a lethal beast. Out of the twenty man strong team sent, only few survived the wrath during the first day. The beast was next to invinsible. Follow the survivors as they would be trying to lead the beast away from Uronia, while exploring this world and what was left after the Great War.",0
13017,Reincarnation of an Anomaly,"A diary, abandoned on the side of the road, soaked with rainwater.
A lonely man picks it up, and opens it. The first page has a small paragraph scrawled on it.
‘In this diary, there’s a story. To you, who have found it by chance, I offer a challenge. Turn this diary into a novel, written from any perspective you want. I’ve detailed this enough for you, so I ask again. Do you accept my challenge?’
While reading, the man felt the words... echo in his head. He smiled.
“A challenge? Let’s see how much of one it really is. I accept.”
The Diary shined, revealing a book that looked much different than the one before. It looked brand new.
He chuckled, and began to head home to prepare to finish the first challenge he’d had in years.
This is the novel he wrote, The Reincarnation of an Anomaly.",48
13019,Play It?,"She has the most boring and original life. In the saddest moment, someone approaches her. It asked if she wants to play game. But she doesn't know that this game is dirty and psychopathic...",7
13020,Wish,"This is my Story.
Follow me as i went from a Terminaly ill Mortal, to someone who Screwed over God. Follow me as i go from World to World and as i go from one Realm to another. Follow me as i Grant Wishes, Make Legends, And Become one of the most hated existences Through-Out The Cosmos.",5
13021,Vicissitudes of Fate (A collection of random short stories),"Find here portals to other worlds of smoke and metal, of magic and might, or maybe, occasionally, the odd tale of whimsey and adventure. 
Enjoy.",1
13022,Warped Family (Harry Potter Fanfiction)`,"Elizabeth and Draco are finally going to Hogwarts. For Elizabeth it is a new adventure to behold, a new journey to take part in. For Draco, it is a means to an end. A dark task has been set before him, he will be forced to deceive the people he cares about most. When he meets Elizabeth and gives her life changing news, will she become the shining light that brightens up his world? Or just another memory to leave along his dark and treacherous path?",3
13025,Heroes & Harmony,"The White Knight advanced into the black throne room, flanked by the Blue Sorceress and the Red Archer. The man on the throne, the Black Knight, laughed, a laugh betrayed by a sickly wheeze. “Why have you come here?” His voice was gravel and weak, yet still conquered the silence of the hall. The White Knight lifted his gaze up to the wreck of a man on the throne, but didn’t speak. After the moment passed, and the silence stretched, the Black Knight spoke again, “You wasted your time. I have ruled long, conquered much, but now time conquers me.” It was true. The Black Knight was frail and ancient, a shadow of his youth. Almost, it seemed as if death itself, a pall figure, stood at the Black Knight’s side. “You need not have come.” 
The White Knight strode forward, mere feet from the dias. He paused a moment, struggling for words, before announcing, “You are found guilty. The Light has judged you for your crimes.”
The Black Knight laughed, laughter so hard it turned into a coughing fit. He laughed and laughed anyway, though it seemed his laugh might be enough strain to kill himself.",4
13026,where strong wind goes by,"Febuary 13, 1920, A Japanese Military police officer was assassinated. Japanese police found a person who killed him but he resisted arrest thus killed him on the spot. 
However, on the next day, a famous Japanese industrialist, Kikuchi Yamamoto has been killed by a same killer.
This news spread fast and entire Japanese people became afraid....
His name was Tsuyokaze Matsutake in Japanese and Gang Poong Choi in Korean.",0
13027,Just wandering,"Story of a man named Zhang seeing the world after a long sleep and how he will flip it for it is not to his liking.
Zhang plants a tree it becomes a protector of the weak worshipped by many.
Zhang raises a snake it becomes a wise dragon god feared by all.
Zhang takes in cripple, and he becomes a powerful emperor loved by all.
With just a touch he can bring life.
With just a single breath the world becomes silent.
With just a blink life cease to exist.
----------------------------------------------------------
I'm still new go easy on me but do give me feedback to help me improve the story because this story is just something I randomly made up
?????",4
13028,The Two-faced Otaku,"On the front line of the war, there’s a little boy. White hair, red eyes and porcelain white skin, he commands an army of different races. He is called Kei Von Deaux. In the past he was called Haru, he is from Earth one of the so called perfect ikimen. Always good in class, sports and is also good in using musical instruments but was reborn as a little boy after he was killed by truck-san with 72 killing streaks and end up meeting a mysterious old man who calls himself “God.” And this little boy, who is actually otaku on the inside decided to dominate the world. He wanted to try conquering this new world using his newly acquired power - OTAKU SYSTEM",327
