Fiction ID,Title,Synopsis,Followers
20999,Breaking the cycle,"Lucas Greyson is stuck in what seems to be an endless cycle of rebirth. He loses most of his memories when he enters a new world, but regains them again when he dies. He must make plans for himself knowing he will be mostly clueless when he is reborn. Is he his own worst enemy or his greatest ally?
 
I will still be focusing on my main story and be working on this when I have time, so the release schedule will be very sporadic with weeks and sometimes months between chapters.",3
21001,Aliia,"This tells our story, only snippets of it... but it's good.
It’s short, but tells alot, and I could use advice from people online.
This is stuff that actually happened.
I may write more thing about this, but I'm not using people’s actual names, just a heads up.",0
21003,The Tutorial is in Chinese,"The bad news: The Apocalypse is here, and I, Alex Lin, am stuck in China.
The good news: I got some kind of phone app that allows me to summon beings with cool abilities
The worse news: Everything in the app, including the tutorial, is in Chinese, which I can't f*cking read.
Other protagonists' greatest obstacles are either other people or themselves.
My greatest obstacle? The language barrier.
 
(crossposted on webnovel)",44
21004,Friends of Anarchy,"Anarchy Verdad grew up rough. His dad is a well-known Mob Boss, he has never know his mother and strange supernatural occurrences constantly happen to him. However, what he didn't expect out of his life was to fall in love...with a man! A beautiful plant loving man.",0
21005,A Story about a Magic Book,"Books.
They have many shapes and sizes. 
They are made of the most variable of materials.
Within them, they can hold many secrets and can hide many fantastical stories and valuable information.
Faced with such interesting entities, it is indeed a pity that their ""magic"" can only be manifested inside of our minds. But, what if one day someone found a truly magical book?
 
------------------------------------------------------
Cover image by: (Didn't find the creator of this image since I didn't make this image but instead just edited it, but i'm totally willing to give him/her credit where it is due)",9
21006,Here There Be Pirates: The Dragon and the Bear,"After being separated in the unforgiving world of pirates and magic, once best friends, Kaida and Click, now find themselves reunited. Though, after seven years, much has changed.  Now secrets, gods, and fate itself threaten to keep them apart. The children they once were are a distant memory, and who they've become are worlds apart.",12
21007,Final Quest: Restore The Lost Data,"She didn't want to suffer anymore. She just wanted me to be happy. She just wanted me to live for myself... but how could I listen to her? I wanted to know what happened. I wanted to return to the place where I belonged so I ignored her and went ahead to collect the lost data. The life she lived, I will relive them once again. I will experience everything she went through and find out why things are the way they are. The old me who didn't want to remember and the me now who wants to remember... who will be the one who was right in the end? 
 
 
Author's Note: Each chapter is around 3k-6k words and there is no set release schedule yet but I will try to update on Saturdays. Thanks for reading and feedback is always welcomed!",9
21008,BattleCube,"Soto, a young man in his 2nd year of high school still pondering what he wants to do after high school. His childhood friend who , Chelsea, wants to be a nurse since she loves helping people. As Soto and Chelsea walk to school and home, he’s always playing the newest game on his cell phone from the apple store. One night as Soto was working on his studies, he receives an e-mail from an unknown sender stating he was selected as a tester to test a new game app called BattleCube. As he was interested that he'll be getting compensated to find bugs and glitches in the app, he follows the link to the instructions how to download the app onto hisvphone. What Soto doesn't know when he opens the app is an adventure that will change the state of his reality forever.
 
BattleCube Start!",4
21009,Miss Clementine,"""L'affaire de Poison"" is an incident that started when Prince Charles III died of an unknown cause. Some aristocrats suspect that he was poisoned by enemy spies or a traitor in court. Some say it was treason. However, a great volume of whispers whispered that it was the doings of the witches. 
""It was a witch's poison!""
""I bet it is the curse of them witches!"" 
""They ruined my fields!""
""Give me back my family!""
Soon, whispers became suspicions and grew into truths in the ears of many, including the reigning and enraged King. 
Thus, the King summoned the army on a witch hunt, that soon reached the doors of the Clementine Family, who lived far from the kingdom. 
Lives were reaped, prayers went unheard, and souls departed;  one young soul, who drifted apart from this world, and onto another. 
She misses her Granny.",4
21010,Rock Riot,"After years of research, a scientist on Earth succeeds in developing a mineral-based life-form aka a 'living rock', but right before he can claim the honor and rewards he is due, a freak meteor shower wipes all life off the surface of the planet. With a grudge against the unfairness of it all, he 'literally' carries the secret to the grave... only to realize he is not yet dead. But what's this? His new body feels far too brittle...",11
21011,Light Rays,"A different Reality. A new Life. A chance to be free
Zack Pascal, an intresting end to his story. But an abrupt continuation into a new one.
As he enters a new reality filled with magic, competition and adventures. He will have to continue his life in a drastically different manner.
He isn't a wimp nor is he an idiot, he will do what it takes to continue living life while discovering new adventures and solving past mysteries.
obscurum per obscurius
 
Warning: Gender bender, Chapter length only 500 to 1000,
A:N : I like having chats in my comment sections, probably a chapter every 2 days, the first 17 chapters are less worldbuilding and magic, more social interactions. So bear with me. Beautiful MC, Strong MC, quite straight forward MC.",332
21012,Reincarnation at the Naruto World,"Our guy Zagan who literally has everything in his life Looks , Money, Grades despite that his not satisfied.
Then a chance for entertainment  was given to him as he died.
Reincarnation at a Anime World.
Watch as he dominates this world with the cheats he got.
 
 
DISCLAIMER: I DO NOT OWN NARUTO,ONE PIECE,BLEACH OR ANYTHING ELSE FROM THE SOURCE MATERIAL. THIS STORY IS A PURE FANFICTION. THIS IS ALSO MY FIRST FANFICTION WRITTE PURELY FOR MY SATISFACTION SO GO AHEAD IF YOU WANNA CRITICIZE MY WORK.",112
